Imię,Nazwisko,PESEL
WIESŁAW,GŁOWACZ,82051586654
WITOLD,IWAN,99043040311
HENRYK,WÓJTOWICZ,98102082691
ZENON,ZIMNY,08240709479
IRENA,KRÓLIKOWSKI,79112446769
HALINA,ŁUKAWSKI,95120496965
JOANNA,PACIOREK,93102674567
KAZIMIERZ,SOBAŃSKI,60062194938
KAROLINA,KRZYWICKA,91031212207
DOROTA,SHEVCHUK,97050291144
ZUZANNA,BOROWIECKI,10281487285
HALINA,KONIECZNY,74042128844
ADRIAN,SROKA,70051211630
KACPER,GRABARCZYK,63022201437
KRZYSZTOF,BAGIŃSKA,78121402973
SERHII,PUCHAŁA,76072267412
MAKSYMILIAN,ĆWIK,85041051334
ZDZISŁAW,WALCZYK,85061212575
ZENON,RYNKIEWICZ,84120419531
ZOFIA,PALKA,53071484244
LIDIA,BOGUSZ,13303028567
WŁADYSŁAW,SZUMSKI,56081375315
DAMIAN,BOROWICZ,67031775598
PATRYCJA,BIENIEK,11292449640
LESZEK,ŁAWNICZAK,05302231679
BOŻENA,BOGDAN,76032632962
JULIAN,CZYŻEWSKI,03210936518
HUBERT,JAGIELSKI,67070439990
PATRYCJA,KAZIMIERCZAK,70050563660
MARIANNA,KANIEWSKI,87030534866
JÓZEFA,MISZTAL,54122710664
BOŻENA,SĘK,11292205862
MAJA,JAKUBIEC,71111193949
KONRAD,SKIBIŃSKI,82042579393
ELŻBIETA,MAZIARZ,84022642389
BRONISŁAW,KRÓLIK,07270392095
BRONISŁAWA,ROKITA,09312368848
KACPER,CHUDZIŃSKI,64091433536
LEOKADIA,KOSSAKOWSKA,97102685408
ROZALIA,ŁUKASIK,79091564360
EDMUND,SMOLEŃ,93041348853
LEON,PIERZCHAŁA,14280611038
STEFANIA,ŻUCHOWSKA,54041804525
KATARZYNA,GAŁUSZKA,73042960465
MARTYNA,MURAWSKI,75060254182
MIECZYSŁAW,DYLEWSKA,77053125477
STEFAN,TARNOWSKA,02261149294
WITOLD,KWAŚNIK,94061257772
ZBIGNIEW,STĘPNIAK,09311412319
CZESŁAW,MAŃKOWSKI,07321217591
IGOR,SAVCHUK,01241938877
BOLESŁAW,IDZIAK,96041137993
ANGELIKA,DMOCHOWSKA,53111048405
PATRYK,STOPA,10221192934
ZUZANNA,WASIAK,12220568347
BARTŁOMIEJ,LASEK,06222043737
GRAŻYNA,ŚWIERCZ,53041031085
BRONISŁAW,SZEWCZAK,15281113833
ROBERT,BORAWSKI,17263062014
BEATA,WILCZEK,76080697924
BRONISŁAW,ŻURAWSKA,14272039211
OLIWIER,RAKOWSKA,68020395012
BARBARA,CIEŚLA,66082414267
ADAM,KUBALA,69011554896
PAWEŁ,MAZURKIEWICZ,02282212456
AGATA,JURKIEWICZ,86030764008
KAZIMIERZ,JANOWICZ,50120589718
FILIP,RUDENKO,65011953550
JULIA,STRZAŁKOWSKI,94040547205
DARIUSZ,DANIEL,57091821111
IRYNA,ŚLUSARCZYK,80112548900
IRYNA,KONOPKA,07281628503
WERONIKA,SZULC,06300711424
URSZULA,BARTCZAK,06252830280
OLIWIA,ROMAN,57012995008
EUGENIA,BARSZCZ,11251251181
WERONIKA,GONTARZ,82121678889
ALEKSANDRA,HOFFMANN,89011239984
KRZYSZTOF,KOWALEWSKI,57071616452
AGNIESZKA,SARNECKA,56090731128
HALINA,PASZKOWSKI,91071926801
MARTA,SKOWROŃSKI,01312639487
CZESŁAWA,KOBYLIŃSKI,75081088168
KRYSTYNA,GIERCZAK,95060967369
PRZEMYSŁAW,ŁUKASIK,63061297831
WIKTOR,CZEKAŁA,82021614877
MARIOLA,KOPROWSKA,66092060780
FRANCISZEK,TKACZYK,59050358410
ROBERT,BILIŃSKA,67021184412
MAŁGORZATA,JUSZCZAK,86080968544
ZYGMUNT,MACHOWSKA,88082179094
DOMINIKA,KWIECIŃSKI,05290803405
ARKADIUSZ,KWAŚNY,14302573898
ADRIAN,MATYSEK,07291109412
RENATA,GŁĄB,99091803643
AGATA,MASTALERZ,04220422507
DOROTA,ANTKOWIAK,86031750901
ŁUCJA,ZADROŻNY,09321104400
BOŻENA,RESZKA,83040248445
LESZEK,MASTALERZ,19312412812
MIKOŁAJ,DEMBIŃSKA,92122642554
BOŻENA,BONIECKI,80051774741
JUSTYNA,ZAJĄCZKOWSKI,14261348801
DOROTA,STACHURSKI,17272637649
MAGDALENA,ROGUSKA,64012618226
OSKAR,BĄCZEK,66050593051
ALEKSANDER,ŚWIERCZEK,69032733559
KAZIMIERZ,RĄCZKA,84020248914
JÓZEF,FRĄCKOWIAK,78011787511
ARKADIUSZ,POPEK,15210219335
BOGUMIŁA,STEFAŃSKA,04252535662
MARIUSZ,SZYSZKO,63050455350
CECYLIA,KOŁODZIEJ,82022028567
WIESŁAW,KUCHARCZYK,12322863498
PAULINA,KOZIŃSKI,05230451466
VOLODYMYR,SUWAŁA,59071344612
WERONIKA,KORALEWSKA,59031778404
STEFANIA,SZCZĘCH,73090511705
GABRIELA,ZAWADA,04272401046
KLAUDIA,MORAWSKI,09283142562
RYSZARD,ZIELONKA,11301884633
HUBERT,WRONA,94102618614
DANIEL,MIELEWCZYK,94112747771
MAJA,BIERNACKA,52052889926
AMELIA,JAGIELSKI,62022632728
WIESŁAWA,FIGIEL,04212925304
MAJA,KOZIKOWSKI,50081044442
ALICJA,WOJNOWSKA,09272798565
KONRAD,JANECZEK,06242192679
CECYLIA,ANDRUSZKIEWICZ,76091271108
DOMINIKA,TAŃSKA,78121371785
ANTONINA,NIEZGODA,56021257660
TOMASZ,GROBELNA,05221478238
STANISŁAW,CISOWSKA,18250906678
MARTA,RYNKIEWICZ,91082354783
WŁODZIMIERZ,URBAŃSKI,04240956491
WACŁAW,WAWRZYNIAK,80022145150
GABRIELA,JODŁOWSKA,99101500582
WIESŁAWA,CISZEK,57022153122
JUSTYNA,KLIMCZAK,73050306280
MARCEL,KRAKOWIAK,11220457974
BOLESŁAW,BORECKA,94092442695
AGATA,TRZASKA,71050558447
WIKTOR,KĘPKA,19242679996
BOLESŁAW,JASEK,73110463335
ŁUKASZ,BOROWIAK,84091995294
PATRYK,BARON,67121091098
VOLODYMYR,WACHOWSKI,69073058936
KRYSTYNA,KARCZ,84111657342
RYSZARD,PLICHTA,88042395270
RAFAŁ,WAWRZYNIAK,50103056112
KONRAD,MIKOŁAJCZYK,56052712172
PIOTR,GAZDA,53100137316
HELENA,BLOCH,83021685487
AGNIESZKA,ROSIŃSKA,03240959923
GRAŻYNA,KUC,02281115286
JÓZEFA,ŚWIĄTKOWSKA,63090460444
DAWID,RADZIKOWSKI,18272643737
MIROSŁAW,WSZOŁEK,85051105072
ŁUKASZ,DĄBEK,04292378353
KONRAD,PIOTROWICZ,09271021330
EDWARD,SZMIDT,03261944612
JACEK,PRZYBYŁO,50011051193
URSZULA,BĘBEN,90090763123
TERESA,BAGIŃSKA,58122148629
SABINA,ADAMCZEWSKA,80062220266
AGNIESZKA,WALA,10260818183
GRZEGORZ,SOROKA,00241666692
MATEUSZ,SOBCZAK,91022772574
MIROSŁAW,MNICH,77121668639
MARIANNA,ZARZYCKA,66063068968
MARTA,TRZCIŃSKI,85031437300
MONIKA,ŁUKAWSKA,99082563068
ALINA,BĘBENEK,58121237807
ROMAN,JĘDRZEJEWSKA,86122385731
ANNA,KOPER,98091793561
WALDEMAR,SZELIGA,92091699476
JAKUB,PAWLUK,95010232576
SERHII,KULIŃSKA,61101117079
MAGDALENA,GAWROŃSKI,12262370326
MARCIN,GAŁKA,84020729013
ANTONI,RUSZKOWSKI,13260459875
PAULINA,SZAFRANIEC,18211790045
PATRYK,KARBOWIAK,05322439970
VOLODYMYR,MIODUSZEWSKI,13232121193
HUBERT,BEDNARSKA,17240507918
KINGA,PIĘTKA,68052200045
ARKADIUSZ,MIREK,62042380357
KAZIMIERZ,WIKTOR,62072987830
ROZALIA,KRAVCHENKO,70063042185
HENRYKA,MARCZAK,55051994688
BOŻENA,RYSZKA,09232487481
ANTONI,PRZYBYŁO,03240794537
SEBASTIAN,FIJOŁEK,51101543530
STANISŁAWA,GOŁĄBEK,75033094207
ZUZANNA,ZDANOWICZ,17290954883
MAREK,WITEK,00241452677
WŁODZIMIERZ,FLORCZYK,90111671695
WALDEMAR,KĘDZIERSKI,09233019490
ALINA,BURA,79072699603
LIDIA,PIETRAS,76071649004
OLENA,SZMIT,13250257748
NIKOLA,KAIM,15313065981
MARCIN,BARTOSZEWICZ,62082733036
HENRYKA,PAPROCKI,97021079124
LESZEK,PIWOWAR,13241224973
NATALIIA,STOLARCZYK,02311820968
ŁUCJA,BRYL,09302411705
EWELINA,GONDEK,56100874469
MARIOLA,PIECUCH,51102838662
WIESŁAW,KOT,82121601454
SYLWESTER,PUCHALSKA,81090413217
FRANCISZEK,KOVAL,09251011359
MACIEJ,GRACZYK,07231795015
ARTUR,PIERZCHAŁA,95100734216
WITOLD,KORNACKA,15262020017
REGINA,DUDZIAK,01302224725
EDYTA,TUREK,68062736701
ALINA,MAZIARZ,77043068481
PATRYK,KRUSZEWSKI,84032506958
KRYSTIAN,KIERZKOWSKA,66121534619
ADAM,KORYCKI,89081588696
ARTUR,HERMAN,88041261639
DAMIAN,KACZMAREK,54041756990
ALINA,SZAREK,17290148147
JERZY,KOVAL,64072759796
WIOLETTA,ŁUKAWSKA,69100652221
TETIANA,WARCHOŁ,85122526540
KRZYSZTOF,LUDWICZAK,88031997090
DAWID,LIPIŃSKI,89102326894
IWONA,SUCHODOLSKA,03242982640
NATALIIA,SEMENIUK,09232008640
MIROSŁAWA,KOZAK,88111073340
MAGDALENA,PILARCZYK,97062227025
MILENA,NARLOCH,90060391808
JÓZEF,MUSZYŃSKA,13300961315
LENA,BANASZAK,88061401040
ZBIGNIEW,KUC,73112589530
JOANNA,KOVALENKO,62121624769
LEOKADIA,PIETRAS,60031279048
ARTUR,PRZYTUŁA,96080330414
WALDEMAR,PIĄTEK,85042673951
MICHALINA,WĄSOWSKI,81091891421
HENRYK,JOŃCZYK,74040300372
ALEKSANDER,MATYSEK,53092230075
KINGA,SOBCZYK,93070392801
ANDRII,JEŻ,79020674814
WIESŁAWA,PIETRZAK,95092029022
KRYSTIAN,JELONEK,64051087090
MACIEJ,SZCZĘŚNIAK,59080113399
ADAM,CEBULA,19211173535
MARTYNA,MAZUR,98020833106
OLGA,KRYSZTOFIAK,13323117081
LIDIA,WROŃSKI,00322627448
MARIANNA,BOROWICZ,62122600263
FILIP,WŁOCH,56092955953
KRZYSZTOF,JAŚKIEWICZ,79082433033
MICHALINA,BEDNARCZYK,58011087583
REGINA,LEŚNIAK,70090391902
FRANCISZEK,DZIĘGIELEWSKI,06211764351
SEBASTIAN,KRUKOWSKA,88021574351
ZDZISŁAW,BADURA,10290236058
EUGENIUSZ,SZELIGA,77021644339
RYSZARD,BARON,53111598375
KAMIL,DAWID,16252536017
TADEUSZ,KAZIMIERCZAK,71030409932
KINGA,WILCZAK,89100137209
IRYNA,KAWKA,63112034086
NIKOLA,FRYDRYCH,93071556868
FRANCISZEK,STEFAŃSKI,78010470955
WIOLETTA,NAWROT,86111313226
MARCEL,MIELCAREK,71061472136
ZBIGNIEW,WOŹNICKA,71051060033
MICHAŁ,CIEŚLA,92051047794
MARZENA,PTASZYŃSKI,57041189168
HELENA,MILER,84091951861
JÓZEFA,CZARNOTA,02311250286
BEATA,SOJKA,67121670888
VOLODYMYR,KULIKOWSKI,13321400459
IGNACY,RĄCZKA,70020705054
IGOR,ADAMKIEWICZ,13213035831
PRZEMYSŁAW,JUSZCZAK,96111495396
LAURA,BABIŃSKI,19212482407
NATALIA,JELEŃ,56012404886
IRYNA,NOWAKOWSKI,79031112246
OLIWIER,FRĄCKOWIAK,04322597198
JANUSZ,FORMELA,77013049698
MONIKA,CISZEK,92012905026
OLGA,KUJAWA,82120704622
SŁAWOMIR,ŁUKOWSKA,96021480655
BARTOSZ,NIEWĘGŁOWSKA,12213010253
SYLWESTER,ADAMIAK,92031855997
IWONA,GRZESIAK,76060282049
CZESŁAWA,MROCZKOWSKA,92020190865
IRENA,KIERZKOWSKA,18281559946
MATEUSZ,JELEŃ,53120887336
SYLWESTER,GRZYBOWSKI,15301089678
ZDZISŁAW,RUSIN,00260428011
DARIUSZ,CELIŃSKI,60061963751
STANISŁAW,MAĆKOWIAK,83122269199
OLIWIA,MISZCZUK,83120131524
RENATA,TARKOWSKA,06291156943
JANINA,ŻACZEK,17320794122
HENRYKA,PISAREK,05271115620
CZESŁAW,ROMAŃCZUK,65042722473
MARIAN,STACHOWICZ,16302805757
KAROLINA,RESZKA,12252097884
KRYSTIAN,BUDNY,62082886352
AMELIA,KACZMARCZYK,93120708882
JULIAN,DOMAGAŁA,63120236337
WITOLD,MACIAK,85122280756
IRENA,KWIECIŃSKI,75032086726
BOLESŁAW,WILKOWSKA,69121652376
JUSTYNA,JURCZYK,79011635361
SZYMON,MIKOŁAJEWSKA,95100540211
RAFAŁ,WOJDA,59072354591
WOJCIECH,BOMBA,78021336136
SYLWESTER,SZYMURA,01212588917
JANUSZ,KOZAK,67072628516
HANNA,KOPROWSKI,64022949884
ROMAN,KOZŁOWSKI,95052625491
JANUSZ,PACH,01312314577
BOLESŁAW,RUSZKOWSKI,66111321557
MAREK,SKÓRA,88012407255
FRANCISZKA,SAMBORSKA,08221012404
BOLESŁAW,KUPCZAK,50021447973
EWA,KOPERSKA,01261498643
RAFAŁ,GRABOWSKI,88052205451
MAREK,TKACHENKO,87071901018
ADRIAN,GŁUSZEK,96102509459
SEBASTIAN,KRASIŃSKI,07211588798
LUCYNA,MATYSIAK,84043019126
ANNA,NIEDZIELA,92111525981
WITOLD,SZLACHTA,76020454790
EWELINA,NAWROCKA,93081524882
PIOTR,PILARCZYK,85081399711
BEATA,KALETA,96102273606
JOLANTA,ZDUNEK,56012167763
STANISŁAWA,KALICKI,76033032549
JULIAN,WILK,92080830114
MIROSŁAWA,MIELNIK,66051830623
AGATA,SIUDA,64030679281
DAWID,FRYDRYCH,52112513231
OLGA,LEWKOWICZ,99101362144
PATRYK,IWANOWSKI,88062498913
ANETA,MELNYK,50020383364
NIKOLA,ZAWISZA,79012446322
ALEKSANDER,KRYNICKA,00322155990
JÓZEF,KUŚNIERZ,98082287671
ADRIAN,STENCEL,13322312074
PATRYK,KRÓLAK,57102395350
IWONA,CHUDZIŃSKI,06230811346
REGINA,WOJTYSIAK,73123154668
MARCIN,PANEK,99041975990
SZYMON,GALAS,60061910814
KRYSTYNA,SOBOCIŃSKI,06292597806
DANUTA,STAŃCZYK,18283114628
LIDIA,KLIMEK,00310659402
MIROSŁAWA,MAKUCH,89062173284
EUGENIUSZ,ŻYWICKA,85061923219
MARIAN,SMYK,18261022097
KONRAD,JAKUBOWSKA,55081122316
BRONISŁAWA,CZAJA,08301107541
AGNIESZKA,BĄCZEK,01261376020
EWA,JASTRZĘBSKI,62020167286
LEON,WOLNY,68091874559
OSKAR,KRÓLAK,77122152337
STEFAN,ROKITA,53110479336
TERESA,NOWIŃSKA,86040931407
KRYSTYNA,BĄK,55121937201
SEBASTIAN,KUBAS,99022114770
JOLANTA,SZATKOWSKI,64121092685
OSKAR,RUDNIK,10241714950
JADWIGA,WOŁOSZYN,61031394364
JAROSŁAW,SŁOMKA,66053019475
KAROLINA,DYRDA,97022281269
HUBERT,GĄSIOREK,64040471259
NIKOLA,WOJTOWICZ,13213049449
MARIOLA,ADAMCZUK,79031772222
STEFAN,STAROSTA,03262585050
ARKADIUSZ,BOCIAN,71080277994
KAZIMIERZ,SOŁTYSIK,90081607236
JULIAN,JANOWICZ,05250132059
ALICJA,OCHMAN,97061899168
WALDEMAR,ŁUKASZEWSKA,98112296877
ANNA,MATUSIK,89011028528
DARIUSZ,PŁACHTA,53100431410
ŁUKASZ,GAJOS,57120492471
PRZEMYSŁAW,MROZOWSKA,72031638091
URSZULA,PALKA,01252886880
MIROSŁAWA,KUŹMIŃSKI,98082984783
BARTOSZ,SKUPIEŃ,97062570178
ANETA,PEŁKA,70081734385
IRYNA,ŚLEDŹ,11290272206
MARIA,WĄSIK,57080234689
MONIKA,MIKOŁAJCZAK,15301841704
SERHII,PŁÓCIENNIK,57021024890
MACIEJ,SAWICKI,04320865473
KAROL,SYPNIEWSKA,67101843334
MAREK,ZAGÓRSKI,03302855677
CZESŁAW,GORCZYCA,09291648771
KRYSTIAN,BANASIAK,74070311379
FILIP,WYRZYKOWSKA,55012298510
ANTONINA,PAWLAK,08321589462
EDWARD,STOPA,99052726794
JERZY,MARCINKIEWICZ,90032888031
MIROSŁAW,KRAWIEC,82083116274
EUGENIA,JANISZEWSKI,62122527603
JÓZEF,PANEK,97022489391
TOMASZ,KŁOSIŃSKA,89073003033
ANGELIKA,BRODOWSKI,14272533562
STEFAN,KOZYRA,90110277977
BARTŁOMIEJ,KULKA,63122560711
RENATA,SOSIŃSKA,51100206203
CECYLIA,KOŚCIELNY,03271945300
SABINA,RYDZEWSKA,09292718266
HENRYK,MĄCZKA,67021614836
ADRIAN,KUSTRA,72110179930
MARIUSZ,PRZYBYSZEWSKA,51070276178
PAWEŁ,OZIMEK,75120956670
JAROSŁAW,SZAFRANIEC,99052388277
MARCEL,BARAN,85040852592
JUSTYNA,ŻYWICKA,82020994248
MATEUSZ,SHEVCHUK,05231983119
MARIANNA,PIETRUSZEWSKI,06230498349
RYSZARD,MORAWSKI,53060850171
DARIUSZ,OLIINYK,99012957459
WITOLD,KOŁODZIEJSKI,76032320119
DMYTRO,DUDKIEWICZ,86042782650
ALEKSANDER,GUZEK,91082870797
CZESŁAWA,OLENDER,85120982889
IGOR,KURKOWSKA,74081447531
FILIP,GÓRCZYŃSKA,18290293097
WIOLETTA,DĄBKOWSKI,58032633426
WIKTOR,PIOTROWSKI,60041727078
GRZEGORZ,MIROWSKI,97100621453
ZYGMUNT,KUŁAKOWSKI,54081484570
STANISŁAW,MATUSZAK,82042630450
OLIWIER,DUDZIAK,70081959977
LUCYNA,MARCINEK,78011985865
ZYGMUNT,MICHNA,72080676998
OLEKSANDR,BOCHEŃSKA,16292672559
JULIAN,BOBROWSKA,05231453511
ANTONINA,GWIZDAŁA,90011985980
JULIAN,GUZEK,98012720315
MAGDALENA,SOBCZYK,86080686684
MARIAN,SABAT,85122467119
KINGA,GANCARZ,93020903161
STANISŁAWA,STOPA,51031966704
STANISŁAW,ŁUKASZCZYK,64033173492
JULIA,STEC,85122163381
EUGENIA,SZCZEŚNIAK,12291310643
ANETA,GOŹDZIK,85030389820
KLAUDIA,OLSZEWSKA,88032224607
TADEUSZ,KLIMAS,86052290879
TOMASZ,MAKOWSKI,01291668177
HUBERT,TOKARSKI,15270226270
JULIAN,SZYMURA,92100134053
KAROLINA,BOJARSKA,54081503244
MICHAŁ,MUSIOŁ,14291046238
RADOSŁAW,NIEWĘGŁOWSKI,72010622619
ALEKSANDRA,ŻBIKOWSKI,79050486627
LAURA,MAŁEK,14282581689
STANISŁAW,BORAWSKI,08232123795
WITOLD,ROZMUS,64070777518
PRZEMYSŁAW,LIPIŃSKI,56122292911
JOLANTA,KNAPIK,65051029947
SYLWIA,MUSIAŁ,96101333381
JAKUB,ŚLIWKA,01280635755
JACEK,FALKOWSKA,15300663617
CZESŁAW,DZIURA,69122146258
MAGDALENA,GRZYBOWSKI,94060490925
IWONA,PIELA,58121188400
HENRYKA,GIEMZA,50062431021
PAULINA,DEMBIŃSKA,08250983847
MAJA,BIELAWSKI,54032593023
ANDRZEJ,LOREK,59091641674
RENATA,BATKO,53041607121
ZYGMUNT,ROSZAK,05241444213
AMELIA,PÓŁTORAK,66011479189
MARCIN,KRYŃSKA,60050112018
DMYTRO,KĘDZIOR,53030344716
KAROLINA,KACZOR,00260777283
EUGENIUSZ,KUKLA,50012475855
JOLANTA,PIETRZAK,86062874429
PAWEŁ,MODZELEWSKA,69032484158
MIŁOSZ,NIEDŹWIEDŹ,14241120054
DMYTRO,MITURA,15302977170
WIESŁAW,GÓRAL,92032169918
NATALIA,KRAKOWSKA,00222629201
MAJA,KOŁACZ,71112411264
IZABELA,GÓRZYŃSKI,01310572104
MICHAŁ,MÜLLER,85121531471
EWELINA,WEBER,61112652705
SEBASTIAN,SKRZYPIEC,59051350275
ARKADIUSZ,WOJNOWSKI,06261728471
PRZEMYSŁAW,BRZEZIŃSKA,54092493510
ANIELA,CHUDY,11272220625
MARCIN,MILEWSKA,89112747616
SŁAWOMIR,ŚWIERCZEK,02291476218
ZBIGNIEW,KALISZEWSKA,05231856130
HENRYK,SIKORSKA,56052700191
ADAM,PIETRASZEK,74022447091
KAZIMIERA,KOWALCZYK,03292432348
TETIANA,BAŃKA,66030764208
MARIANNA,KRUSZEWSKI,88071611161
GRAŻYNA,LIS,08322208564
OLIWIER,GOŁDYN,16260223235
MIŁOSZ,KORZENIEWSKA,54020798092
BARBARA,MICHAŁOWSKA,73020558523
PAULINA,PUZIO,17233036306
BEATA,SZUBA,87030274423
JANINA,KULAS,09271874167
MIROSŁAWA,JASTRZĘBSKA,06310148900
KAZIMIERZ,BARTOSZEWICZ,80011069436
MAJA,NIEZGODA,86110105161
MARCIN,DYLEWSKA,90121026038
ROMAN,SMOLAREK,69063031130
KAROLINA,MISZCZAK,70060427727
LIDIA,TARGOSZ,59082838069
JANUSZ,POŹNIAK,50051555912
JULIA,PIECHA,74072263360
TETIANA,NIEDŹWIEDŹ,74042800207
AGATA,KOSTECKA,72101939048
LIDIA,BAJER,91031849823
GRZEGORZ,KOKOSZKA,55032022597
LESZEK,BONIECKA,13242456038
ALEKSANDRA,STOKŁOSA,83071426566
KAMIL,JANIKOWSKA,98043047274
REGINA,GOLIŃSKA,50011564309
JACEK,BUJAK,59081281110
MARZENA,SKOCZEŃ,04232919543
BOGUMIŁA,BANASZEK,93061817287
ZOFIA,LANGNER,60082302140
ANGELIKA,GAJOS,81030311762
SYLWESTER,MARZEC,72082948112
ZOFIA,PŁATEK,58031749980
ALEKSANDRA,BARTNICKI,01320203104
KAMILA,IWAN,57081927526
KRYSTYNA,ŚWIDERSKI,55010346000
AGATA,WOLNA,87102759289
WŁODZIMIERZ,KIEŁBASA,08211976019
EDYTA,GAWRON,94030239202
JANUSZ,KAZIMIERSKA,74082889730
KRYSTIAN,JEDYNAK,87042320291
WIESŁAW,SZCZEPANIAK,70111076096
ELŻBIETA,GAJDA,80052757624
DANUTA,LIPOWSKI,17230904165
SYLWIA,PEPLIŃSKI,73121608701
JOLANTA,SIWIŃSKA,95070612307
FRANCISZKA,ANIOŁ,98041295686
REGINA,RZEPECKA,11222505125
SZYMON,POLISHCHUK,09261994152
SABINA,ŁUKOMSKA,92052964362
WANDA,IWANIUK,85071058600
MACIEJ,GŁUCHOWSKI,92072959755
KAROL,DROZD,52071386150
JANUSZ,SZCZOTKA,68021366211
DOMINIKA,KRZEMIŃSKA,88111120783
MIROSŁAWA,ZWOLIŃSKA,11212604700
EWELINA,ŻUREK,53083150102
JOLANTA,KOSIOR,93042758440
JÓZEF,PIWKO,82020317597
WITOLD,JĘDRZEJCZAK,93010429990
WOJCIECH,KOZA,84113020076
MIECZYSŁAW,BARTOSZEWSKI,66013045773
KRYSTIAN,SKORUPA,60011606491
JACEK,GUZEK,72073091672
BOLESŁAW,KWAŚNY,61061178712
ALEKSANDRA,PACIOREK,78052250407
IGOR,WNĘK,92122300658
STEFANIA,SOBCZYŃSKA,80041790162
ANTONINA,JURCZAK,10212025708
ALEKSANDRA,WAWRZYNIAK,69082265086
KONRAD,ŁUKASZEWSKA,79083148015
FRANCISZEK,MAKOWSKI,12242200333
RADOSŁAW,DMOCHOWSKI,64020336451
ROMAN,KASPRZYCKA,16302864792
WŁADYSŁAW,TYMIŃSKI,96041850137
JAROSŁAW,KRAUZE,58070970613
AGATA,MASŁOWSKI,80061581069
ZYGMUNT,BURY,70061921930
MILENA,SZMYT,72031634608
WANDA,KUFEL,83091152241
FRANCISZEK,SKALSKI,56051019799
MARIOLA,WESOŁOWSKA,05321948329
KRYSTIAN,JANAS,91070107535
JOANNA,WRZOSEK,58100534361
OLENA,KACZYŃSKI,16312418626
EWA,KARCZ,85111789941
MIŁOSZ,ANDRUSZKIEWICZ,87050259554
KAZIMIERZ,FILIP,98100446273
MILENA,SMOLEŃ,65060883244
RENATA,SĘKOWSKA,14272669687
NATALIIA,BILSKI,86050412705
FILIP,KUKLIŃSKI,00220830416
DOMINIK,KOTAS,71083095397
MARZENA,KWAPISZ,04240484523
ZENON,KRAUSE,91042936992
PATRYK,PARTYKA,15242761031
HALINA,MOMOT,90060415720
HALINA,CISEK,89062428346
SEBASTIAN,KUBICA,17290990997
MIECZYSŁAW,KRZEMIŃSKA,00280562092
ŁUCJA,BALCER,66042241562
WIESŁAW,WOJNOWSKA,88021109852
LESZEK,ŚLUSARCZYK,94040118759
IRENEUSZ,KOZUB,82103002916
CZESŁAWA,PAWLUK,69051815449
JUSTYNA,STANEK,06220982801
WŁADYSŁAWA,ŁAPIŃSKI,50082214682
HELENA,SŁOWIK,58051404663
WOJCIECH,MARCHENKO,82091143198
IGNACY,PYKA,15292995613
EUGENIA,KALEMBA,02211240549
PAULINA,GIBAS,75093088082
MIROSŁAWA,SHEVCHUK,71032888641
MACIEJ,SZOPA,96090749972
ROMAN,PODSIADŁO,50041120995
JAROSŁAW,NOWAKOWSKA,06262931630
MARCEL,BARTCZAK,82111975312
ŁUKASZ,ZARĘBSKA,99020238878
CZESŁAWA,CIOSEK,79072091948
KAMIL,PAWLUS,53022252472
KAZIMIERZ,ZAPAŁA,55122860335
JOANNA,TERLECKI,68111126248
DANUTA,DUL,75051531342
WIKTORIA,RÓG,53121510268
IRYNA,ŁOBODA,04290883723
WERONIKA,KUDŁA,01251392922
DAMIAN,PYKA,94051225992
ŁUKASZ,BOJANOWSKA,01321153651
TADEUSZ,NAWROCKA,00241209194
WACŁAW,ROLA,84051711519
MARTYNA,WILCZYŃSKI,67102471707
SZYMON,ORZECHOWSKA,88112148397
EDWARD,SZCZYGIEŁ,15272084218
TADEUSZ,GOLEC,81021763857
MAKSYMILIAN,SADŁOWSKI,70110770434
GENOWEFA,TRELA,75070187942
ALICJA,PAWLACZYK,51092402160
LUCYNA,WOJEWODA,04282514965
TOMASZ,TURSKI,82080105815
IRENA,JASEK,15312992486
MICHALINA,WŁODARSKI,98110470406
IRENA,TOMCZAK,93040748685
OLENA,MUSIELAK,72111947903
HELENA,GOLA,76110439708
MARIANNA,MIŚKIEWICZ,88030402681
EDWARD,STOPA,70072711599
MAREK,ROZMUS,06220978057
MIŁOSZ,SKRZYPIEC,08261708738
PAWEŁ,OLEKSY,13222557850
OLIWIA,KRUSZEWSKI,98082675360
WŁADYSŁAWA,ORLIŃSKI,75050254129
EDWARD,KOWALIK,69092574196
IRENA,KRAWCZYK,92090922524
VOLODYMYR,SIEMIŃSKI,50081659152
MARCEL,ZAPAŁA,57123100874
WIESŁAW,DZIKOWSKA,63100396170
PIOTR,MIKULSKA,93110970314
ALINA,CHUDZIK,96110693566
MARIANNA,ŚWITAŁA,04283133046
ANTONI,WIERZBICKI,92040606571
DOMINIKA,BARTOSZ,90061858661
MIECZYSŁAW,LORENC,90031069352
WIKTORIA,MALISZEWSKA,54010196042
PRZEMYSŁAW,NOCOŃ,89051798935
MARZENA,ŻELAZNY,88032748329
ADRIAN,KONARSKI,17252578872
WIESŁAWA,ŻMUDA,74060288225
JULIA,GRZELAK,88111828445
WIKTOR,MIERZWA,10211306798
ANGELIKA,SOLARZ,00242928043
MILENA,ZIĘBA,04231174527
IGNACY,GÓRAL,91011020912
DOMINIKA,CHUDY,69051584301
HELENA,URBAŃCZYK,88122839241
WERONIKA,WIKTOROWICZ,19220772200
IVAN,KOZIK,77062427090
OLEKSANDR,STACHOWICZ,83121779310
